word,count
persons,9
pity,9
valuable,9
grave,9
story,9
admitted,9
probability,9
haste,9
offended,9
hastily,9
suspicion,9
introduced,9
sincerely,9
imprudence,9
bore,9
assembly,9
reception,9
rejoiced,9
highest,9
running,9
explained,9
itself,9
contents,9
offered,9
deserve,9
nieces,9
guarded,9
mistress,9
longed,9
exertion,9
heaven,9
become,9
knows,9
placed,9
spirit,9
wednesday,9
lips,9
elegance,9
quitted,9
discover,9
eight,9
addition,9
quarter,9
minute,9
material,9
likes,9
comply,9
seldom,9
friendship,9
lines,9
entering,9
sunday,9
past,9
refuse,9
recommended,9
monday,9
attending,9
proposals,9
authority,9
reflections,9
seek,8
low,8
death,8
gallantry,8
http,8
indebted,8
rooms,8
prepare,8
mistake,8
incapable,8
opinions,8
hate,8
unexpected,8
fun,8
chosen,8
lest,8
conclusion,8
eagerness,8
ordered,8
laid,8
george,8
number,8
neighbour,8
taught,8
strongly,8
entail,8
employed,8
bestowed,8
lady's,8
acknowledge,8
solicitude,8
impatient,8
reach,8
officer,8
follows,8
advise,8
makes,8
behaved,8
altogether,8
cousin's,8
clergyman,8
severe,8
matters,8
assurances,8
propriety,8
governess,8
abode,8
force,8
service,8
domain,8
vexed,8
encouraged,8
foolish,8
according,8
balls,8
changed,8
associated,8
arrangement,8
scotland,8
recollections,8
tall,8
expressing,8
idle,8
sudden,8
jenkinson,8
occasions,8
noticed,8
indignation,8
suffered,8
contain,8
relieved,8
discovered,8
line,8
extent,8
difficulty,8
warmth,8
heightened,8
formal,8
declare,8
doors,8
gracious,8
spared,8
unknown,8
remarks,8
collection,8
drawn,8
begged,8
certainty,8
uneasy,8
volunteers,8
laws,8
quietly,8
doubted,8
freely,8
ourselves,8
carried,8
gentlemanlike,8
lodge,8
possibly,8
thankful,8
note,8
totally,8
alteration,8
separation,8
wherever,8
somewhat,8
tax,8
watching,8
fellow,8
couple,8
wondered,8
impertinence,8
evils,8
quitting,8
direct,8
husband's,8
inquired,8
exclaimed,8
thrown,8
hold,8
deny,8
office,8
chooses,8
features,8
fee,8
female,8
commendation,8
fast,8
alarmed,8
arise,8
openly,8
below,8
sacrifice,8
sound,8
concerns,8
variety,8
quiet,8
memory,8
enjoy,8
complete,8
throw,8
properly,8
king,8
usually,8
prove,8
interested,8
warmly,8
friend's,8
horses,8
unpleasant,8
approach,8
protested,8
gentleman's,8
figure,8
weak,7
approbation,7
entertained,7
condescension,7
congratulate,7
tempted,7
thanked,7
flattered,7
fashion,7
schemes,7
entreaty,7
falsehood,7
proof,7
mentioning,7
spare,7
rising,7
month,7
game,7
drink,7
impression,7
instance,7
removal,7
